occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
210	872	5	1	0xE	0xC9	190545	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
211	872	5	1	0x30	0x79	190695	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
212	872	5	1	0x31	0x32	190755	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
213	872	6	1	0x34	0xF1	190950	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
214	872	6	1	0x35	0xC9	191100	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
215	872	6	1	0xE55	0xC6	191250	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
216	872	6	1	0xE57	0x10	191355	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
217	872	6	1	0xE52	0x4E	191550	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
218	872	6	1	0xE53	0x23	191700	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
219	872	6	1	0xE54	0xD7	191790	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
220	872	6	1	0x10	0xDD	191955	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
221	872	6	1	0x14	0x28	192255	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
222	872	6	1	0x16	0x18	192360	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
223	872	6	1	0x28	0xF5	192540	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
224	872	6	1	0x29	0xCF	192705	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
225	872	6	1	0x8	0x3A	192870	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
226	872	6	1	0xB	0x87	193065	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
227	872	6	1	0xC	0x38	193125	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
228	872	6	1	0xE	0xC9	193230	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
229	872	6	1	0x2A	0xF1	193380	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
230	872	6	1	0x2B	0x32	193530	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
231	872	6	1	0x2E	0xF5	193725	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
232	872	6	1	0x2F	0xCF	193890	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
233	872	6	1	0x8	0x3A	194055	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
234	872	6	1	0xB	0x87	194250	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
235	872	6	1	0xC	0x38	194310	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
236	872	6	1	0xE	0xC9	194415	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
237	872	6	1	0x30	0x79	194565	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
238	872	6	1	0x31	0x32	194625	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
239	872	7	1	0x34	0xF1	194820	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
240	872	7	1	0x35	0xC9	194970	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
241	872	7	1	0xE55	0xC6	195120	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
242	872	7	1	0xE57	0x10	195225	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
243	872	7	1	0xE52	0x4E	195420	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
244	872	7	1	0xE53	0x23	195570	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
245	872	7	1	0xE54	0xD7	195660	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
246	872	7	1	0x10	0xDD	195825	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
247	872	7	1	0x14	0x28	196125	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
248	872	7	1	0x16	0x18	196230	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
249	872	7	1	0x28	0xF5	196410	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
250	872	7	1	0x29	0xCF	196575	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
251	872	7	1	0x8	0x3A	196740	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
252	872	7	1	0xB	0x87	196935	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
253	872	7	1	0xC	0x38	196995	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
254	872	7	1	0xE	0xC9	197100	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
255	872	7	1	0x2A	0xF1	197250	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
256	872	7	1	0x2B	0x32	197400	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
257	872	7	1	0x2E	0xF5	197595	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
258	872	7	1	0x2F	0xCF	197760	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
259	872	7	1	0x8	0x3A	197925	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
260	872	7	1	0xB	0x87	198120	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
261	872	7	1	0xC	0x38	198180	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
262	872	7	1	0xE	0xC9	198285	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
263	872	7	1	0x30	0x79	198435	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
264	872	7	1	0x31	0x32	198495	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
265	872	8	1	0x34	0xF1	198690	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
266	872	8	1	0x35	0xC9	198840	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
267	872	8	1	0xE55	0xC6	198990	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
268	872	8	1	0xE57	0x10	199095	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
269	872	8	1	0xE52	0x4E	199290	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
270	872	8	1	0xE53	0x23	199440	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
271	872	8	1	0xE54	0xD7	199530	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
272	872	8	1	0x10	0xDD	199695	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
273	872	8	1	0x14	0x28	199995	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
274	872	8	1	0x16	0x18	200100	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
275	872	8	1	0x28	0xF5	200280	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
276	872	8	1	0x29	0xCF	200445	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
277	872	8	1	0x8	0x3A	200610	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
278	872	8	1	0xB	0x87	200805	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
279	872	8	1	0xC	0x38	200865	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
280	872	8	1	0xE	0xC9	200970	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
281	872	8	1	0x2A	0xF1	201120	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
282	872	8	1	0x2B	0x32	201270	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
283	872	8	1	0x2E	0xF5	201465	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
284	872	8	1	0x2F	0xCF	201630	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
285	872	8	1	0x8	0x3A	201795	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
286	872	8	1	0xB	0x87	201990	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
287	872	8	1	0xC	0x38	202050	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
288	872	8	1	0xE	0xC9	202155	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
289	872	8	1	0x30	0x79	202305	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
290	872	8	1	0x31	0x32	202365	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
291	872	9	1	0x34	0xF1	202560	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
292	872	9	1	0x35	0xC9	202710	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
293	872	9	1	0xE55	0xC6	202860	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
294	872	9	1	0xE57	0x10	202965	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
295	872	9	1	0xE52	0x4E	203160	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
296	872	9	1	0xE53	0x23	203310	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
297	872	9	1	0xE54	0xD7	203400	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
298	872	9	1	0x10	0xDD	203565	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
299	872	9	1	0x14	0x28	203865	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
300	872	9	1	0x16	0x18	203970	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
301	872	9	1	0x28	0xF5	204150	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
302	872	9	1	0x29	0xCF	204315	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
303	872	9	1	0x8	0x3A	204480	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
304	872	9	1	0xB	0x87	204675	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
305	872	9	1	0xC	0x38	204735	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
306	872	9	1	0xE	0xC9	204840	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
307	872	9	1	0x2A	0xF1	204990	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
308	872	9	1	0x2B	0x32	205140	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
309	872	9	1	0x2E	0xF5	205335	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
310	872	9	1	0x2F	0xCF	205500	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
311	872	9	1	0x8	0x3A	205665	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
312	872	9	1	0xB	0x87	205860	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
313	872	9	1	0xC	0x38	205920	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
314	872	9	1	0xE	0xC9	206025	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
315	872	9	1	0x30	0x79	206175	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
316	872	9	1	0x31	0x32	206235	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
317	872	10	1	0x34	0xF1	206430	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
318	872	10	1	0x35	0xC9	206580	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
319	872	10	1	0xE55	0xC6	206730	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
320	872	10	1	0xE57	0x10	206835	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
321	872	10	1	0xE52	0x4E	207030	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
322	872	10	1	0xE53	0x23	207180	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
323	872	10	1	0xE54	0xD7	207270	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
324	872	10	1	0x10	0xDD	207435	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
325	872	10	1	0x14	0x28	207735	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
326	872	10	1	0x16	0x18	207840	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
327	872	10	1	0x28	0xF5	208020	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
328	872	10	1	0x29	0xCF	208185	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
329	872	10	1	0x8	0x3A	208350	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
330	872	10	1	0xB	0x87	208545	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
331	872	10	1	0xC	0x38	208605	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
332	872	10	1	0xE	0xC9	208710	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
333	872	10	1	0x2A	0xF1	208860	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
334	872	10	1	0x2B	0x32	209010	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
335	872	10	1	0x2E	0xF5	209205	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
336	872	10	1	0x2F	0xCF	209370	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
337	872	10	1	0x8	0x3A	209535	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
338	872	10	1	0xB	0x87	209730	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
339	872	10	1	0xC	0x38	209790	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
340	872	10	1	0xE	0xC9	209895	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
341	872	10	1	0x30	0x79	210045	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
342	872	10	1	0x31	0x32	210105	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
343	872	11	1	0x34	0xF1	210300	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
344	872	11	1	0x35	0xC9	210450	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
345	872	11	1	0xE55	0xC6	210600	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
346	872	11	1	0xE57	0x10	210705	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
347	872	11	1	0xE52	0x4E	210900	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
348	872	11	1	0xE53	0x23	211050	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
349	872	11	1	0xE54	0xD7	211140	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
350	872	11	1	0x10	0xDD	211305	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
351	872	11	1	0x14	0x28	211605	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
352	872	11	1	0x16	0x18	211710	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
353	872	11	1	0x28	0xF5	211890	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
354	872	11	1	0x29	0xCF	212055	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
355	872	11	1	0x8	0x3A	212220	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
356	872	11	1	0xB	0x87	212415	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
357	872	11	1	0xC	0x38	212475	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
358	872	11	1	0xE	0xC9	212580	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
359	872	11	1	0x2A	0xF1	212730	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
360	872	11	1	0x2B	0x32	212880	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
361	872	11	1	0x2E	0xF5	213075	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
362	872	11	1	0x2F	0xCF	213240	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
363	872	11	1	0x8	0x3A	213405	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
364	872	11	1	0xB	0x87	213600	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
365	872	11	1	0xC	0x38	213660	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
366	872	11	1	0xE	0xC9	213765	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
367	872	11	1	0x30	0x79	213915	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
368	872	11	1	0x31	0x32	213975	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
369	872	12	1	0x34	0xF1	214170	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
370	872	12	1	0x35	0xC9	214320	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
371	872	12	1	0xE55	0xC6	214470	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
372	872	12	1	0xE57	0x10	214575	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
373	872	12	1	0xE52	0x4E	214770	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
374	872	12	1	0xE53	0x23	214920	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
375	872	12	1	0xE54	0xD7	215010	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
376	872	12	1	0x10	0xDD	215175	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
377	872	12	1	0x14	0x28	215475	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
378	872	12	1	0x16	0x18	215580	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
379	872	12	1	0x28	0xF5	215760	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
380	872	12	1	0x29	0xCF	215925	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
381	872	12	1	0x8	0x3A	216090	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
382	872	12	1	0xB	0x87	216285	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
383	872	12	1	0xC	0x38	216345	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
384	872	12	1	0xE	0xC9	216450	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
385	872	12	1	0x2A	0xF1	216600	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
386	872	12	1	0x2B	0x32	216750	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
387	872	12	1	0x2E	0xF5	216945	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
388	872	12	1	0x2F	0xCF	217110	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
389	872	12	1	0x8	0x3A	217275	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
390	872	12	1	0xB	0x87	217470	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
391	872	12	1	0xC	0x38	217530	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
392	872	12	1	0xE	0xC9	217635	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
393	872	12	1	0x30	0x79	217785	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
394	872	12	1	0x31	0x32	217845	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
395	872	13	1	0x34	0xF1	218040	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
396	872	13	1	0x35	0xC9	218190	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
397	872	13	1	0xE55	0xC6	218340	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
398	872	13	1	0xE57	0x10	218445	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
399	872	13	1	0xE52	0x4E	218640	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
400	872	13	1	0xE53	0x23	218790	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
401	872	13	1	0xE54	0xD7	218880	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
402	872	13	1	0x10	0xDD	219045	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
403	872	13	1	0x14	0x28	219345	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
404	872	13	1	0x16	0x18	219450	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
405	872	13	1	0x28	0xF5	219630	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
406	872	13	1	0x29	0xCF	219795	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
407	872	13	1	0x8	0x3A	219960	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
408	872	13	1	0xB	0x87	220155	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
409	872	13	1	0xC	0x38	220215	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
410	872	13	1	0xE	0xC9	220320	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
411	872	13	1	0x2A	0xF1	220470	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
412	872	13	1	0x2B	0x32	220620	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
413	872	13	1	0x2E	0xF5	220815	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
414	872	13	1	0x2F	0xCF	220980	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
415	872	13	1	0x8	0x3A	221145	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
416	872	13	1	0xB	0x87	221340	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
417	872	13	1	0xC	0x38	221400	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
418	872	13	1	0xE	0xC9	221505	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
419	872	13	1	0x30	0x79	221655	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
420	872	13	1	0x31	0x32	221715	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
421	872	14	1	0x34	0xF1	221910	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
422	872	14	1	0x35	0xC9	222060	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
